candidate,slice,bucket_lo,bucket_hi,rows,avg_pred_home_prob,actual_home_win_rate,home_calibration_gap
tapered_context_75_v1,all_neutral,0.45,0.55,864,0.501087272712202,0.5254629629629629,-0.024375690250760917
tapered_context_75_v1,all_neutral,0.55,0.6,484,0.575928214906661,0.6322314049586777,-0.05630319005201667
tapered_context_75_v1,all_neutral,0.6,0.7,855,0.6448738767389666,0.7216374269005847,-0.07676355016161818
tapered_context_75_v1,all_neutral,0.7,0.8,519,0.7459637791435153,0.8439306358381503,-0.09796685669463501
tapered_context_75_v1,all_neutral,0.8,0.9,178,0.8378562157073718,0.8820224719101124,-0.04416625620274062
tapered_context_75_v1,all_neutral,0.9,1.0,14,0.9271907380649022,0.9285714285714286,-0.0013806905065264496
tapered_context_75_v1,all_games,0.0,0.1,40,0.07685025446116925,0.075,0.0018502544611692512
tapered_context_75_v1,all_games,0.1,0.2,580,0.16365094408392905,0.12758620689655173,0.03606473718737732
tapered_context_75_v1,all_games,0.2,0.3,1595,0.25408758312744034,0.21442006269592476,0.039667520431515585
tapered_context_75_v1,all_games,0.3,0.4,2725,0.3538175171449644,0.30642201834862387,0.04739549879634053
tapered_context_75_v1,all_games,0.4,0.45,1874,0.42587462570140555,0.41408751334044824,0.011787112360957308
tapered_context_75_v1,all_games,0.45,0.55,4887,0.502398441418173,0.5076734192756293,-0.005274977857456231
tapered_context_75_v1,all_games,0.55,0.6,3014,0.5756010532616461,0.5992037159920371,-0.023602662730391022
tapered_context_75_v1,all_games,0.6,0.7,6702,0.6500229215006513,0.6890480453595942,-0.039025123858942856
tapered_context_75_v1,all_games,0.7,0.8,5125,0.7469521617656801,0.8070243902439025,-0.060072228478222356
tapered_context_75_v1,all_games,0.8,0.9,4081,0.8485507900532014,0.8858123009066405,-0.037261510853439095
tapered_context_75_v1,all_games,0.9,1.0,5934,0.9672817832538886,0.9597236265588136,0.00755815669507498
bounded_anchor_v1,ncaa_tournament_neutral,0.2,0.3,3,0.27636709809303284,0.6666666666666666,-0.3902995685736338
bounded_anchor_v1,ncaa_tournament_neutral,0.3,0.4,45,0.35682919224103293,0.3111111111111111,0.04571808112992182
bounded_anchor_v1,ncaa_tournament_neutral,0.4,0.45,42,0.42313246996629805,0.6190476190476191,-0.19591514908132102
bounded_anchor_v1,ncaa_tournament_neutral,0.45,0.55,115,0.5003493985404139,0.6782608695652174,-0.17791147102480342
bounded_anchor_v1,ncaa_tournament_neutral,0.55,0.6,41,0.5727072866951547,0.7804878048780488,-0.20778051818289411
bounded_anchor_v1,ncaa_tournament_neutral,0.6,0.7,60,0.6462151348590851,0.8333333333333334,-0.18711819847424827
bounded_anchor_v1,ncaa_tournament_neutral,0.7,0.8,29,0.7316414857732838,0.9655172413793104,-0.23387575560602658
bounded_anchor_v1,conference_tournament_neutral,0.1,0.2,5,0.1654122829437256,0.6,-0.4345877170562744
bounded_anchor_v1,conference_tournament_neutral,0.2,0.3,26,0.2652653816800851,0.38461538461538464,-0.11935000293529952
bounded_anchor_v1,conference_tournament_neutral,0.3,0.4,158,0.361212669482714,0.45569620253164556,-0.09448353304893153
bounded_anchor_v1,conference_tournament_neutral,0.4,0.45,179,0.425392704636025,0.41899441340782123,0.00639829122820379
bounded_anchor_v1,conference_tournament_neutral,0.45,0.55,483,0.5010588915081498,0.6749482401656315,-0.17388934865748173
bounded_anchor_v1,conference_tournament_neutral,0.55,0.6,234,0.5733251900244982,0.7905982905982906,-0.21727310057379234
bounded_anchor_v1,conference_tournament_neutral,0.6,0.7,267,0.6408186804935727,0.846441947565543,-0.20562326707197032
bounded_anchor_v1,conference_tournament_neutral,0.7,0.8,28,0.7236376787934985,1.0,-0.2763623212065015
bounded_anchor_v1,all_neutral,0.0,0.1,10,0.07246448509395123,0.1,-0.027535514906048775
bounded_anchor_v1,all_neutral,0.1,0.2,64,0.1538976194569841,0.1875,-0.0336023805430159
bounded_anchor_v1,all_neutral,0.2,0.3,314,0.26196159621712506,0.30254777070063693,-0.04058617448351187
bounded_anchor_v1,all_neutral,0.3,0.4,836,0.3550622836111835,0.3911483253588517,-0.03608604174766816
bounded_anchor_v1,all_neutral,0.4,0.45,625,0.4251434799671173,0.5248,-0.09965652003288272
bounded_anchor_v1,all_neutral,0.45,0.55,1242,0.4979954171631839,0.6497584541062802,-0.15176303694309629
bounded_anchor_v1,all_neutral,0.55,0.6,455,0.5734250686980866,0.7692307692307693,-0.19580570053268265
bounded_anchor_v1,all_neutral,0.6,0.7,437,0.6403446829018931,0.8352402745995423,-0.19489559169764925
bounded_anchor_v1,all_neutral,0.7,0.8,90,0.7301425609323714,0.9333333333333333,-0.20319077240096195
bounded_anchor_v1,all_neutral,0.8,0.9,5,0.8394651532173156,1.0,-0.16053484678268437
bounded_anchor_v1,all_neutral,0.9,1.0,1,0.9025632739067078,1.0,-0.09743672609329224
bounded_anchor_v1,all_games,0.0,0.1,12,0.07622187118977308,0.08333333333333333,-0.007111462143560246
bounded_anchor_v1,all_games,0.1,0.2,347,0.16642035969052604,0.11815561959654179,0.04826474009398425
bounded_anchor_v1,all_games,0.2,0.3,1832,0.25816220498956965,0.22489082969432314,0.033271375295246514
bounded_anchor_v1,all_games,0.3,0.4,4005,0.3555745420384496,0.350561797752809,0.005012744285640636
bounded_anchor_v1,all_games,0.4,0.45,3044,0.4257012368345073,0.4911300919842313,-0.06542885514972402
bounded_anchor_v1,all_games,0.45,0.55,7730,0.5016550347806565,0.5919793014230271,-0.09032426664237059
bounded_anchor_v1,all_games,0.55,0.6,3927,0.5744706616317888,0.6944232238349886,-0.11995256220319972
bounded_anchor_v1,all_games,0.6,0.7,6093,0.6452262043542077,0.7894304940095191,-0.1442042896553114
bounded_anchor_v1,all_games,0.7,0.8,3647,0.746450607633473,0.8884014258294488,-0.14195081819597577
