candidate,slice,context,rows,avg_favored_prob,favored_win_rate,favored_gap_actual,avg_market_favored_prob,favored_gap_market
reduced_context_v1,ncaa_tournament_neutral,close_game_prob_band,107,0.527200612509362,0.5981308411214953,-0.07093022861213327,0.595556452239098,-0.06828266194913968
reduced_context_v1,ncaa_tournament_neutral,moderate_favorite_band,66,0.7071349313764861,0.9090909090909091,-0.20195597771442297,0.8676045115259662,-0.15989844249667162
reduced_context_v1,conference_tournament_neutral,favorite_tail_80,1,0.8445431441068649,0.0,0.8445431441068649,0.5590568613704292,0.2854862827364357
reduced_context_v1,conference_tournament_neutral,close_game_prob_band,386,0.5294166528499188,0.538860103626943,-0.009443450777024243,0.5817845854604303,-0.0524083487581638
reduced_context_v1,conference_tournament_neutral,moderate_favorite_band,207,0.6829113310229951,0.8985507246376812,-0.2156393936146861,0.8024992390150146,-0.11946270543542092
reduced_context_v1,all_neutral,favorite_tail_80,34,0.8601070335682701,0.8529411764705882,0.007165857097681916,0.8172950802942921,0.03683590109768997
reduced_context_v1,all_neutral,heavy_favorite_90,7,0.9106210257325854,1.0,-0.08937897426741459,0.89692502552381,0.006563992956172937
reduced_context_v1,all_neutral,close_game_prob_band,1547,0.5255577472154757,0.557207498383969,-0.031649751168493334,0.6130296454458267,-0.08746921132413077
reduced_context_v1,all_neutral,moderate_favorite_band,514,0.6940376261096984,0.8657587548638133,-0.17172112875411483,0.7958637638505025,-0.1024400512917274
reduced_context_v1,all_games,favorite_tail_80,10445,0.9137157459512831,0.9267592149353758,-0.013043468984092699,0.863735483264703,0.01709887586621206
reduced_context_v1,all_games,heavy_favorite_90,5841,0.9659699545304236,0.9609655880842322,0.0050043664461913995,0.8915090700690345,0.04842154818836086
reduced_context_v1,all_games,close_game_prob_band,5512,0.5252989589173147,0.5288461538461539,-0.003547194928839148,0.5928956806857382,-0.06756893782947337
reduced_context_v1,all_games,moderate_favorite_band,10905,0.7172037222786051,0.7657955066483264,-0.048591784369721336,0.7373937667046706,-0.020285426796395445
shape_penalized_v1,ncaa_tournament_neutral,close_game_prob_band,120,0.5263047762215137,0.575,-0.04869522377848623,0.6303245935125895,-0.10347885356516451
shape_penalized_v1,ncaa_tournament_neutral,moderate_favorite_band,62,0.7006761311523376,0.9032258064516129,-0.20254967529927526,0.8548868950016016,-0.15341979966171715
shape_penalized_v1,conference_tournament_neutral,favorite_tail_80,5,0.8446523576974869,0.4,0.4446523576974869,0.5887160353569698,0.2559363223405171
shape_penalized_v1,conference_tournament_neutral,heavy_favorite_90,1,0.9070975631475449,0.0,0.9070975631475449,0.5590568613704292,0.34804070177711566
shape_penalized_v1,conference_tournament_neutral,close_game_prob_band,122,0.5229028710087792,0.48360655737704916,0.03929631363173003,0.5907908395383504,-0.06790390641063981
shape_penalized_v1,conference_tournament_neutral,moderate_favorite_band,721,0.6940678679662009,0.8058252427184466,-0.11175737475224568,0.7365727511300659,-0.04245747127897903
shape_penalized_v1,all_neutral,favorite_tail_80,93,0.8709021617848707,0.7956989247311828,0.07520323705368792,0.7651585946684424,0.09291401526631737
shape_penalized_v1,all_neutral,heavy_favorite_90,28,0.9390700550616852,0.8214285714285714,0.11764148363311377,0.8263401644085684,0.10403199761499082
shape_penalized_v1,all_neutral,close_game_prob_band,778,0.5262614259912912,0.5269922879177378,-0.0007308619264465577,0.6133988191090197,-0.08691704318942339
shape_penalized_v1,all_neutral,moderate_favorite_band,1205,0.6966297636017266,0.8074688796680498,-0.11083911606632324,0.7517474534361744,-0.05515766017257895
shape_penalized_v1,all_games,favorite_tail_80,10596,0.9161698996499336,0.9259154397885995,-0.009745540138665909,0.8623675625077069,0.021627380148901865
shape_penalized_v1,all_games,heavy_favorite_90,6084,0.9668407045334778,0.9590729783037475,0.007767726229730321,0.8898282751518191,0.052004608929758556
shape_penalized_v1,all_games,close_game_prob_band,4680,0.5253197052157842,0.5177350427350428,0.007584662480741411,0.5881570202996649,-0.06281721594665157
shape_penalized_v1,all_games,moderate_favorite_band,11443,0.7157053476505364,0.7643974482216203,-0.04869210057108386,0.736067527072017,-0.02041430970122604
